.model,date,.rep,patients,Specialty
combination,2023-10-01,45,2342.642761095942,Cardiology
combination,2023-11-01,45,2383.4583701364018,Cardiology
combination,2023-12-01,45,2515.1717823261333,Cardiology
combination,2024-01-01,45,2554.6867895883875,Cardiology
combination,2024-02-01,45,2582.089773130741,Cardiology
combination,2024-03-01,45,2641.6958960112765,Cardiology
combination,2024-04-01,45,2616.981013734521,Cardiology
combination,2024-05-01,45,2648.597520064936,Cardiology
combination,2024-06-01,45,2686.468597485508,Cardiology
combination,2024-07-01,45,2782.386698168134,Cardiology
combination,2024-08-01,45,2775.1503549959775,Cardiology
combination,2023-09-01,46,2255.0625183291827,Cardiology
combination,2023-10-01,46,2379.5172250484234,Cardiology
combination,2023-11-01,46,2437.5640630883277,Cardiology
combination,2023-12-01,46,2478.9775904780327,Cardiology
combination,2024-01-01,46,2486.6154080052456,Cardiology
combination,2024-02-01,46,2591.702821203862,Cardiology
combination,2024-03-01,46,2567.197829343508,Cardiology
combination,2024-04-01,46,2577.3035975706257,Cardiology
combination,2024-05-01,46,2550.998550418847,Cardiology
combination,2024-06-01,46,2648.4446335158254,Cardiology
combination,2024-07-01,46,2683.4915772138215,Cardiology
combination,2024-08-01,46,2679.7988206581995,Cardiology
combination,2023-09-01,47,2247.0787920445564,Cardiology
combination,2023-10-01,47,2378.707983786832,Cardiology
combination,2023-11-01,47,2409.809376557047,Cardiology
combination,2023-12-01,47,2420.8562916550463,Cardiology
combination,2024-01-01,47,2429.756461748766,Cardiology
combination,2024-02-01,47,2457.2023919777116,Cardiology
combination,2024-03-01,47,2536.7534997472335,Cardiology
combination,2024-04-01,47,2572.95269494558,Cardiology
combination,2024-05-01,47,2560.3157182556834,Cardiology
combination,2024-06-01,47,2614.3505536176403,Cardiology
combination,2024-07-01,47,2726.244571541826,Cardiology
combination,2024-08-01,47,2738.8845298089946,Cardiology
combination,2023-09-01,48,2238.788275118347,Cardiology
combination,2023-10-01,48,2361.874228365373,Cardiology
combination,2023-11-01,48,2391.27874392362,Cardiology
combination,2023-12-01,48,2420.5081520196773,Cardiology
combination,2024-01-01,48,2452.397357730186,Cardiology
combination,2024-02-01,48,2476.520427596416,Cardiology
combination,2024-03-01,48,2510.06104993742,Cardiology
combination,2024-04-01,48,2576.550873343693,Cardiology
combination,2024-05-01,48,2612.0174532662923,Cardiology
combination,2024-06-01,48,2673.069985702902,Cardiology
combination,2024-07-01,48,2669.1609437105317,Cardiology
combination,2024-08-01,48,2744.745603013206,Cardiology
combination,2023-09-01,49,2219.5282815058704,Cardiology
combination,2023-10-01,49,2401.87205434129,Cardiology
combination,2023-11-01,49,2459.8750461732116,Cardiology
combination,2023-12-01,49,2529.9724867863442,Cardiology
combination,2024-01-01,49,2569.3705544603763,Cardiology
combination,2024-02-01,49,2557.216124438238,Cardiology
